求人ID,自社ID,賞与,給与,仕事内容
101099,,★少人数制の保育園★保育スタッフ募集！,"月給154,200千円～190,000円

","あり
特別期間手当1,000円、交通費全額支給、車通勤OK、駐車場無料"
101100,,★お子様増員のため保育スタッフ募集★,"月給16,2000円～17,4000円

","あり
夜勤手当/4,000円、特別期間手当1,500円

交通費全額支給"
101101,,"「子ども大好き！」そんなアナタを求めています！！　

★保育スタッフ募集★","月給172,000円～230,000円

","あり
夜勤手当（4,000円/回)、特別期間手当(1,000円/回)

交通費全額支給

"
101102,,"資格を生かすチャンス！！子どもたちの笑顔に癒されながら、一緒にお仕事をしませんか　

★保育スタッフ募集★","月給148,600円～173,600円

","あり
特別期間手当（1,500円/回)

交通費全額支給







"
101103,,"今まで培ってきた経験を是非当社で活かして下さい！　
★保育スタッフ募集★",パート/時給1100円～,"
交通費全額支給・エプロン貸与


"
102834,,"せっかく取得した資格を活かすならココ！！

毎日イキイキと活躍出来る環境が揃っています","月給22万円～（園長候補）　18万円～

","あり
夜勤手当(4,000円)、特別期間手当（1,500円/回)、他業務手当あり

交通費全額支給





"
102836,,英語を取り入れ国際的な環境づくりを目指します！！,"時給1,000円～

 ",
102838,,"★充実のサポート体制であなたをバックアップ★

☆子どもの【したい】を、大切にする保育です☆","★正社員/月給22万～30万円

","昇給年１回

賞与年２回
正社員：夜勤手当、特別期間手当、業務手当、リーダー手当



交通費全額支給







"
102840,,"資格を活かすチャンス！！

子どもたちの笑顔に癒されながら、一緒にお仕事しませんか？","時給900円

","
夜勤手当(1,500円/日)、特別期間手当（1,000円/日)

交通費全額支給







"
102841,,"自ら考える子どもを育てます！

自由保育でのびのびすくすく育てる保育を☆ブランクがある方もＯＫ☆","月給144,400円～166,400円

","あり
特別期間手当（1,500円/日)

交通費全額支給







"
102842,,"2015年7月オープン予定です☆

調理師募集！",時給800円,"
特別期間手当(1,000円/日)、土日祝日手当(500円/日)、雇用保険(規定による)、エプロン貸与、交通費全額支給



"
102843,,"2015年7月オープン予定です☆

保育士募集！","198,000円～

","昇給年１回

賞与年２回
夜勤手当(4,000円/日)、特別期間手当(1,500円/日)

交通費全額支給



"
102844,,"せっかく取得した資格を活かすならココ！！

毎日イキイキと活躍出来る環境が揃っています★

","173,100円～181,100円

","
特別期間手当(1,500円/日)

交通費全額支給



"
102845,,"せっかく取得した資格を活かすならココ！！
毎日イキイキと活躍出来る環境が揃っています★
",時給900円,"
特別期間手当(1,000円/日)、土日祝日手当(500円/日)
交通費全額支給

"
102846,,"せっかく取得した資格を活かすならココ！！
毎日イキイキと活躍出来る環境が揃っています★
",時給900円,"
特別期間手当(1,000円/日)、土日祝日手当(500円/日)
交通費全額支給

"
102847,,"宇都宮にて保育士募集！

2/28に説明会＆面接会実施(面接1回)

参加者特典！Quoカード500円分プレゼント・入社1か月経過後、ディズニーペアチケットプレゼント！！","月給165,000円～196,000円

","
夜勤手当(4,000円/日)、特別期間手当(1,500円/日)

交通費全額支給、エプロン貸与



"
102848,,平成２７年４月１日開園の０歳児から２歳児の乳児施設,"正規保育士　186,000円～

パート保育士　900円～1,100円",正規職員　年２回
102849,,"保育士募集♪
勤務時間・曜日はお気軽にご相談ください！",時給850円（深夜割増＠1，063円）,"
夜勤手当(1,500円/日)、特別期間手当(1,000円/日)、土日祝日手当(500円/日)
交通費全額支給

"
102850,,"施設長（園長）のお仕事です♪
","月給 300,000円～300,000円","昇給・賞与あり

特別期間手当（1,500円／回）交通費支給（上限30,000円まで／月）
有給・産休・育休・慶弔休暇あり 
"
102851,,"土日祝休み！H26.4月にリニューアルオープンした保育園でのお仕事です。
",時給900円,"
特別期間手当（1,000円／回）交通費全額支給"
102852,,"保育士募集！
医師・看護師職員のお子さまをお預かりします。",時給900円,"
特別期間手当（1,000円／回）土日祝手当（500円/回）交通費全額支給"
102853,,"保育士募集！
","時給1,200円～1,400円","
特別期間手当（1,000円／回）交通費全額支給"
102854,,"保育士募集！
病院併設の保育園で、病院職員の方のお子さまをお預かりします。",時給900円,"
特別期間手当（1,000円/回）土日祝手当（500円/回）交通費全額支給"
102855,,調理スタッフ募集！！,時給850円,"
特別期間手当（1,000円/回）土日祝手当（500円/回）交通費全額支給　駐車場無料"
102856,,保育スタッフ募集！！,時給950円,"
夜勤手当（1,500円/回）特別期間手当（1,000円/回）土日祝手当（500円/回）交通費全額支給　駐車場無料"
102857,,"　　　☆待遇充実☆パート社員募集◆
　　未経験さんも資格があればＯＫ！！",時給９００円,"昇給　１年後２０円
賞与　寸志年２回
雇用保険
３０時間以上健康保険・厚生年金保険
通勤費４万円まで実費支給
食事補助（１食３２０円補助）
子育て勤務応援（当園に預けて勤務していただけます）
その際の休日保育・延長保育は法人より支援"
102858,,"保育士募集！！
",時給900円,"
特別期間手当（1,000円/回）土日祝手当（500円/回）交通費全額支給　駐車場無料"
102860,,"保育士募集！！
土・日・祝日のお仕事です♪","時給1,000円","
特別期間手当（1,000円/回）土日祝手当（500円/回）交通費全額支給　駐車場無料"
102861,,"保育士募集！！
子どもたちが楽しく通える保育園を一緒に作っていきませんか",時給950円,"
夜勤手当（1,500円/回）特別期間手当（1,000円/回）交通費全額支給　"
102862,,"保育士募集！！
Wワーク、夜勤専門スタッフご希望の方もお気軽にご相談ください",時給900円,"
夜勤手当（1,500円/回）特別期間手当（1,000円/回）土日祝日手当（500円/回）交通費全額支給　
"
102863,,"　【こどもの笑顔が好きだから・・・。】
　 　週休２日制☆☆正社員募集☆☆
♪安心の社会保険完備・賞与年２回・日勤のみ♪","月給 200,000円～250,000円","昇給年1回(4月)、
賞与年2回(7月・12月)
各種社会保険完備
交通費全支給 
独身者には住宅手当の一部補助あり"
102864,,"調理師募集！！
",時給850円,"
特別期間手当（1,000円/回）土日祝日手当（500円/回）交通費全額支給　
"
102865,,保育士募集！,時給1200円,"
夜勤手当（1,500円/回）特別期間手当（1,000円/回）土日祝日手当（500円/回）交通費全額支給　
"
102866,,"　　新卒・既卒・ブランクさんＯＫ♪
◆正社員募集◆完全週休2日☆福利厚生充実
","短大・専門卒：月給１８８，０００円～
　　　４大卒：月給１９０，０００円～　　","賞与　年2回　基本給の4.3ヶ月　（初年度は2.5ヶ月）
昇給　年1回
私学共済
雇用保険
退職金制度有り
"
102867,,"　　　＊＊契約社員募集＊＊

　充実の福利厚生☆ボーナス有り☆☆","月給１７６,５５０円～

","賞与　年2回　（昨年度実績1.1ヶ月）
社会保険完備

通勤費（上限５万円まで支給）"
102869,,　嬉しい賞与4.37ヶ月分★正社員募集,"基本給１５７、０００円～
","賞与　年3回　（４.３７ヶ月分）
社会保険完備
退職金制度有り
交通費（上限１５，０００円まで支給）"
102870,,自然に恵まれた広大な敷地で、のびのび保育☆,"150,000円～","賞与：年2回　計27.0月分

昇給：3,000円～5,000円

"
102871,,"保育士募集！
やりがいのある充実したお仕事です！",時給850円,"
夜勤手当（1,500円/回）特別期間手当（1,000円/回）土日祝日手当（500円/回）交通費全額支給　
"
102872,,"保育士募集！
暖かみのある園で新たなスタートを切りませんか？",時給900円,"
夜勤手当（1,500円/回）特別期間手当（1,000円/回）土日祝日手当（500円/回）交通費全額支給　
"
102873,,広い園庭で子どもがのびのび遊べる保育園,月給　１７５，５００円～,"賞与　年３回
昇給　有り
社会保険完備
駐車場完備"
102874,,"保育士募集！

笑顔溢れる保育園で一緒に働きませんか",時給900円,"
特別期間手当（1,000円/回）土日祝日手当（500円/回）交通費全額支給　

"
102875,,働くほどに、明るく元気で美しくなる職場をめざしています。,"短大卒基本給170,000円　残業手当定額　14,610円　　通勤手当10,000円まで

大卒基本給178,000円　残業手当定額　15,297円　　通勤手当10,000円まで","賞与　年３回　　約３カ月

昇給　年１回　　2,000円
健康保険　雇用保険　　労災保険"
102876,,働くほどに、明るく元気で美しくなる職場をめざしています。,時給900円～,
102877,,草花と木々につつまれた保育園,"基本給１４６，９００円～
※経験により考慮します。","賞与あり　昨年度実績年３回（７月・１２月・３月）
昇給あり　昨年度実績年１回
私学共済、労働保険、雇用保険、年末年始休暇、慶弔休暇、退職金制度あり"
102879,,南海高野線千代田駅東側すぐ。幅広い年齢層の先生が活躍するアットホームな幼稚園。,"187,000円～
165,000円～","賞与年2回。昇給昨年度実績4,000円
交通費全額。退職金制度有。雇用保険。労災保険。私学共済。"
102881,,広い園庭を緑あふれる自然のあるアットホームな幼稚園♪,"189,000円～192,600円",
102882,,【駅から徒歩1分】動物・植物・自然とのふれあいを大切にする幼稚園！！,"(1)187,000円～
(2)165,000円～",
102884,,"ごちそうさま！おいしかったよ！
あなたが作った温かくて美味しい給食で、子ども達を笑顔にしませんか？","月給190,000円～（※経験者）
月給185,000円～（※新卒・未経験者）","賞与 年2回
昇給 年1回
社会保険完備（健康・厚生・雇用・労災）、交通費全額支給、エプロン貸与です♪
産休育休暇制度、時短制度（育児・介護）、退職金制度、社内表彰制度あり
社員寮完備、住宅手当、資格手当、役職手当、育児手当、家族手当、慶弔見舞金、調整給あり
"
102885,,"ごちそうさま！おいしかったよ！
あなたが作った温かくて美味しい給食で、子ども達を笑顔にしませんか？","月給190,000円～（※経験者）
月給185,000円～（※新卒・未経験者）","賞与 年2回
昇給 年1回
社会保険完備（健康・厚生・雇用・労災）、交通費全額支給、エプロン貸与です♪
産休育休暇制度、時短制度（育児・介護）、退職金制度、社内表彰制度あり
社員寮完備、住宅手当、資格手当、役職手当、育児手当、家族手当、慶弔見舞金、調整給あり"
102887,,"勤務時間はご相談下さい・パートさん募集

ブランク・経験・未経験問いません♪♪



（正職員希望　ご相談ください）",時給９７０円～,"
雇用保険・労災保険



"
102888,,"大垣別院境内にある幼稚園です
大正10年創設された歴史ある幼稚園です","時給：800円～1,000円
経験優遇","
労災保険"
102889,,"　　☆新卒既卒問いません♪正社員募集☆

エネルギッシュ溢れる先生たちがいっぱいです","正社員

＊新卒　　　　　月給１６０,０００円～

＊既卒経験有り　月給１７６,０００円～","賞与　年３　（２,５ヶ月、２,５ヶ月、０、５ヶ月）

昇給　年1回あり


私学共済保険

雇用保険・労災保険

退職金制度有り（勤続1年以上）

"
102890,,"【休日・夜勤は時給UP！】

新船橋駅より徒歩圏内で通勤便利♪

即日勤務できる方大歓迎！

病院内保育室での保育士のお仕事☆","時給880円～1,130円

※勤務時間・曜日により異なる","昇給年1回（7月）、感謝金（業績による）
有給休暇、特別休暇、社会保険完備、永年勤続表彰、慶弔見舞金、

ベネフィットステーション会員（宿泊施設や飲食店での優待割引等）

★自転車通勤可"
102891,,"【夜勤なし！】かわいい子どもたちに囲まれながら、

あなたの専門性を活かして働きませんか？

★日祝休みなので仕事もプライベートも

大切にしたい方にお勧めです★

","月給23万8,000円～

※経験加算あり","昇給年1回（7月）、賞与年2回（夏季・冬季）、決算賞与（業績による） 


社会保険完備

大型レジャー施設法人会員

ベネフィットステーション会員

（宿泊施設や飲食店での優待割引等）

入社時有給休暇

（3日、初年度のみ付与）

従業員持株会、結婚・出産祝い金

永年勤続表彰、慶弔見舞金

退職金制度"
102892,,"【土日・祝日勤務できる方大歓迎!!】

日勤のみ!扶養内勤務の病院内保育所☆

少人数制のアットホームな施設です！

研修制度充実でブランクのある方も安心♪","時給940円～1,140円

※勤務時間、勤務曜日により異なる","昇給年1回（7月）、感謝金（業績による）
有給休暇、特別休暇、社会保険完備、永年勤続表彰、慶弔見舞金、ベネフィットステーション会員（宿泊施設や飲食店での優待割引等）、車通勤・自転車通勤可"
102893,,"【車通勤可！】2013年オープンしたばかりの施設♪

土・祝日・年末年始の勤務可能な方大歓迎☆

新規スタッフとしてかわいい子どもたちと一緒に過ごしませんか？","時給900円～1,050円

※勤務時間帯により異なる","昇給年1回（7月）、感謝金（業績による）
社会保険完備

永年勤続表彰、慶弔見舞金

ベネフィットステーション会員

（宿泊施設や飲食店での優待割引等）"
102894,,"車通勤可！富山市内の病院での看護師のお仕事です。

週1～2日でOK！土日祝休み♪プライベート充実◎

子どもが好きな方、資格を活かして子育て支援をしませんか？！","時給1,250円～1,400円

※勤務時間帯により異なる","昇給年1回（7月）、感謝金（業績による）
社会保険完備

永年勤続表彰、慶弔見舞金

ベネフィットステーション会員

（宿泊施設や飲食店での優待割引等）"
102895,,"【2015年6月から新規開設！】オープニング☆
4月1日から入社できる方募集！
本郷三丁目駅近くの病児・病後児保育室でのお仕事です。
土日祝休み☆子どもたちが安心して過ごせる保育室を作りましょう！
","時給1,000円 ","昇給年1回（7月）、感謝金（業績による）
社会保険完備
永年勤続表彰、慶弔見舞金
ベネフィットステーション会員
（宿泊施設や飲食店での優待割引等）"
102896,,開聞岳の懐に抱かれ、のびのびとした環境の保育園,"基本給　149,200～経験により","賞与　　年3.95月分
昇給　　年一回
「仕事も遊びも一生懸命して楽しむ」ことで、一緒に食事会したり、国内旅行（TDR等）や海外旅行（SEOUL等）を年に一回は実施しているのと、こどもの誕生会と同じく、スタッフの誕生日もみんなでお祝いしたり（誕生日休暇）、結婚記念日もみんなで祝福してあげられるよう（結婚記念日休暇）にしています。"
102897,,【アットホーム】みんなの笑顔があふれる保育園を目指しています(*･ω･*)【服装/髪型自由】,"180,000円",
102898,,【新卒歓迎☆】「こだまする子」が教育理念の、のびのびとした幼稚園です【服装・髪型自由！！】,"186,000円～",
102900,,【駅チカ！！】あなたも温かい家族になりませんか？【アットホーム♪】,"186,300円","賞与：年2回　3.4ヶ月分
昇給：1,500円"
102901,,"城南宙保育園は、大阪府高槻市の認可保育園で地域の方々や、

異年齢の人との交流を目的とした活動を行います。",《時給》840円,"
雇用保険・労災保険・健康保険・厚生年金保険"
102902,,城南宙保育園は、大阪府高槻市の認可保育園で地域の方々や、異年齢の人との交流を目的とした活動を行います。,"《月給》190,000円～","
雇用保険・労災保険・健康保険・厚生年金保険

退職金制度あり（勤続3年以上）"
102903,,よく遊び、楽しく学ぶアットホームな幼稚園(*･ω･*)♪,"197,000円",あり
102904,,【駅チカ♪】居心地の良い、温かく小さな保育園☆【預けて安心】,"180,000円～196,000円","賞与：年2回2,000円
昇給：1,000円"
102905,,"保育士募集

◆神様の恵みいっぱいのアットホームな園です

◆バイリンガル保育(日本語と英語)

◆クリスチャンの方歓迎、子どもと英語の好きな方歓迎！



",月給１４万円～　（昇給あり）,"
社会保険、資格手当、残業手当、交通費補助、車通勤可"
102906,,【新卒歓迎☆】家庭的で温かく、園児ひとりひとりを大切にする保育園です！！【駅チカ】,"160,000円",
102908,,【】和太鼓から学ぶ「音体教育」を取り入れた明るく、のびのびした保育園★【】,,
102909,,【子ども一人一人に向き合うあたたかい保育♪】,"時給　900円
月額　154,147円(勤務時間での変動あり)","会議手当てあり
■育児休暇制度
雇用　労災　健康　厚生　"
102910,,"【正社員募集】

勤務地：兵庫県加東市／年齢不問","月給155,000円～160,000円

※交通費支給あり

※退職金制度あり

",
102911,,"ブランクOK！アットホームな雰囲気の中で保育者として成長できます☆
","月給165,000円～",
102912,,お時間と日数はご相談に応じます。ブランクOK！,時給860円～,
102913,,園児と保育士のふれあいを大切にし、明るく楽しい創造的な保育を目指しています！,月給160000円～230000円,
102914,,園児と保育士のふれあいを大切にし、明るく楽しい創造的な保育を目指しています！,,
102915,,☆子どもの心と出会える保育者になりましょう☆,"【正社員】月給160,000円～220,000円","★交通費支給
★社会保険完備

★退職金制度あり"
102916,,"　　　　☆パートさん募集☆
研修制度もバッチリでアットホームな保育園◎",研修期間(１ヶ月)￥７２０　研修後￥７７０,
102921,,"　　　　　　★☆パートさん募集☆★
残業少なめ・土日祝休み ブランクある方も大歓迎♪","研修期間(１ヶ月)　時給７２０円　 研修後は時給７７０円
　",
102922,,年齢不問・未経験者歓迎☆絵本好きの保育士さん募集！,【時給】８５０円,"
社会保険完備
交通費支給"
102926,,家庭的な雰囲気の中で子ども一人ひとりに向き合うあたたかい保育に参加してみませんか？,"154,000～200,000(面談の上決定)

*非常勤(一年毎の更新)",
102927,,JR天満駅・扇駅・大阪天満宮駅などアクセス良好！朝または夕方のみでOK♪,時給900円,
102928,,"☆職員3～5名の小さい病院内保育所です★

","新卒初任給165,200円","賞与年2回　
昇給年1回　～20,000"
102930,,"うれしい土日休み◎ 大学部の附属幼稚園として基礎基本を大切にした保育を推進！",,"時給1,100円"
102935,,【パート募集】子どもと共に先生自身が成長できる環境です【短時間でOK！】,時給1000円～　（7：30～8：30は時給1200円）,"賞与：基本給の3.5か月程度（勤務実績による）

昇給：年1回"
102936,,保育士（臨時職員）を募集します。,"160,500円","
・交通費支給
・社会保険完備"
102937,,矢田部保育園では保育士さんを募集しています♪,,
102938,,"☆勤務時間は応相談可！ マイカー通勤可能です☆","時給800～1,000円",
102939,,【】和太鼓から学ぶ「音体教育」を取り入れた明るく、のびのびした保育園★【】,,
102940,,開聞岳の懐に抱かれ、のびのびとした環境の保育園,"基本給　149,200～経験により","賞与　　年3.95月分
昇給　　年一回
「仕事も遊びも一生懸命して楽しむ」ことで、一緒に食事会したり、国内旅行（TDR等）や海外旅行（SEOUL等）を年に一回は実施しているのと、こどもの誕生会と同じく、スタッフの誕生日もみんなでお祝いしたり（誕生日休暇）、結婚記念日もみんなで祝福してあげられるよう（結婚記念日休暇）にしています。"
102943,,【明るく元気な院内保育！！】特殊な療育活動に従事するスタッフを募集してます【安心できる研修有り☆】,時給1111円,"賞与：年2回　33,600円/1回"
102944,,◎勤務時間が固定！うれしい日祝休みです◎,時間給900円,
102945,,【東須磨駅徒歩1分】家庭的な雰囲気であたたかな雰囲気☆,"本俸：月給 151,900円～","年2回
社会保険・雇用保険
交通費3万円まで
退職金（正社員）"
102946,,"【温かく笑顔の絶えない】個性を大切に、園児の限りない可能性を信じる保育園です☆","総合職：156,875円～193,625円
一般職：142,500円～182,500円","賞与　年2回
昇給　有り"
102947,,"【温かく笑顔の絶えない】個性を大切に、園児の限りない可能性を信じる保育園です☆","総合職：156,875円～193,625円
一般職：142,500円～182,500円","賞与　年2回
昇給　有り"
102948,,"【駅近!車通勤もOKで通勤便利♪】

小規模保育室での施設長のお仕事☆

一人ひとりみんな違ってみんないい。

そんな保育を実践しています♪

 

","月給18万5,000円～","昇給年1回（7月）、賞与年2回（夏季・冬季）、決算賞与（業績による）
社会保険完備

大型レジャー施設法人会員

ベネフィットステーション会員

（宿泊施設や飲食店での優待割引等）

入社時有給休暇

（3日、初年度のみ付与）

従業員持株会、結婚・出産祝い金

永年勤続表彰、慶弔見舞金、退職金制度"
102949,,"【温かく笑顔の絶えない】個性を大切に、園児の限りない可能性を信じる保育園です☆","時給750円～900円
☆該当者にはその他手当あり","賞与　年２回
昇給　有り"
102950,,院内保育士さんの募集です♪,"174,600円～187,900円","
・交通費支給

・社会保険完備

・退職金制度

・住宅手当"
102951,,"【温かく笑顔の絶えない】個性を大切に、園児の限りない可能性を信じる保育園です☆","時給750円～900円
☆該当者にはその他手当あり","賞与　年２回
昇給　有り"
102952,,"◎駅チカ！北摂の「ロマンチック街道」に隣接 美しく閑静な街並みの中にあります◎","(1種)202,000円（手当て含む）

(2種)192,000円（手当て含む）

※他園での経験がある方は加算あり。","・賞与　年3回（ 1年目は、計3.5ヶ月分。2年目以降は、計4.5ヶ月分。）

・昇給　年1回


・待遇  　正職員

・私学共済加入、その他傷害保険等"
102955,,【新卒歓迎☆】絶えず笑顔で子どもとの信頼関係を大切にする保育園です【駅チカ♪】,"165,000円～185,000円",
102956,,"【立花駅から徒歩圏内！】尼崎市内の院内保育室でのお仕事です☆

尼崎市内の院内保育室でのお仕事です☆

幅広い年代のスタッフが活躍しています☆

あたたかな保育をして頂ける方お待ちしています！

","月給16万8,000円～","昇給年1回（7月）、賞与年2回（夏季・冬季）、決算賞与（業績による）
社会保険完備

大型レジャー施設法人会員

ベネフィットステーション会員

（宿泊施設や飲食店での優待割引等）

入社時有給休暇

（3日、初年度のみ付与）

従業員持株会、結婚・出産祝い金

永年勤続表彰、慶弔見舞金、退職金制度"
102957,,◎駅チカ！うれしい土日休み♪働きやすい職場です◎,"保育士資格あり￥1,000/h

保育士資格なし￥900/h",
102958,,"日曜祭日、年末年始は休園です。

","国家公務員給与表（福祉職）の基づく。

月額150,000円～

（経験考慮）

","
・交通費支給

・社会保険完備

・退職金制度

・住宅手当"
102959,,【アットホームで綺麗♪】家庭的な雰囲気で園児ひとりひとりを大切にするあたたかい保育園です【服装・髪型自由！！】,時給800円,
102960,,【都内の駅チカ！！】園児の目線に立ち、一緒に保育士のスキルアップもできる保育園です♪【未経験者歓迎】,"188,000円～",賞与：2回　4ヶ月分
102961,,"土日祝休み！！！

正社員 調理員の募集です。新卒の方や経験者、特に子供が大好きな調理員さんを募集します。","国家公務員給与表（行二）月額140,000円～

（経験考慮）

","昇給は年１回行います。賞与は正社員年２回、パート年１回です。
・交通費支給

・社会保険完備

・退職金制度

・住宅手当"
102962,,"◎4月開園予定！真新しい施設で一緒に働きませんか◎","月153,000～273,000円",賞与年2回計3か月分支給
102963,,【自然に囲まれた環境で愛情あふれるアットホームな保育園です♪】,"158,800円～",
102964,,【都内の駅チカ！！】園児の目線に立ち、一緒に保育士のスキルアップもできる保育園です♪【未経験者歓迎】,時給900円～,
102965,,"◎4月開園予定！真新しい施設で一緒に働きませんか◎","時給900～1,000円

","
労災保険、昇給あり、通勤手当4,100円/月、マイカー通勤可

"
102966,,"土日休み♪残業なし♪服装髪型自由♪
パート保育士さんの募集です♪♪♪",時給800円,"
・交通費支給
・社会保険完備
"
102967,,◎二子玉川駅から徒歩8分！高収入で働きやすい環境◎,"短大卒：月給192,100円～

大卒：月給199,300円～","賞与年2回、約4.0ヶ月分（初年度：約2.0ヶ月分） 

昇給年1回
退職共済

完全給食（給食費：6，900円/月）"
102968,,【のびのびした明るい教室♪】健やかな体とこころのバランスを大切にした自然たっぷりの保育園【残業なし！！！】,"時給1,000円",
102969,,◎二子玉川駅から徒歩8分！高収入で働きやすい環境◎,,"時給1,200円"
102970,,"【施設長候補募集!!】駅近で通勤便利☆

日中10名程度のお子様をお預かりしています♪



土日休みありでプライベート充実◎

子どもの笑顔溢れる職場で一緒に働きませんか？","月給21万7,856円～

※固定残業手当15H含む","昇給年1回（7月）、賞与年2回（夏季・冬季）、決算賞与（業績による）
社会保険完備

大型レジャー施設法人会員

ベネフィットステーション会員

（宿泊施設や飲食店での優待割引等）

入社時有給休暇

（3日、初年度のみ付与）

従業員持株会、結婚・出産祝い金

永年勤続表彰、慶弔見舞金

退職金制度"
102971,,"【施設長候補募集!!】

伊勢原市内の院内保育室です♪

充実した施設で経験を活かしませんか？

車通勤・自転車通勤可で通勤便利☆

日中利用者25名程度の保育園で施設長候補を大募集！

充実した施設で一緒に働きませんか？！","月給21万7,575円～

※固定残業15H分含む","昇給年1回（7月）、賞与年2回（夏季・冬季）、決算賞与（業績による）
社会保険完備

大型レジャー施設法人会員

ベネフィットステーション会員

（宿泊施設や飲食店での優待割引等）

入社時有給休暇

（3日、初年度のみ付与）

従業員持株会、結婚・出産祝い金

永年勤続表彰、慶弔見舞金、退職金制度"
102972,,【アットホームで温かい】緑の自然に恵まれた元気いっぱいの保育園で働きませんか？【研修充実！！】,"185,808円～",
102973,,【新卒歓迎！！】人間として生きる力の基礎を培うあたたかい保育園【アットホームできれいな職場☆】,"160,900円
☆特殊業務手当7,800円",
102974,,"正社員 保育士さん２名の募集です☆

","基本給170,000円～180,000 円



+ 手当て2～3万 ","
・交通費支給

・社会保険完備

・退職金制度

・住宅手当（貸室のみ）"
102975,,"【夜勤勤務専門保育士募集♪】週1日～勤務OK!!
☆マイカー通勤も可能です☆
♪一人ひとりみんな違ってみんないい♪
★そんな保育を実践しています★
","時給880円～1,130円
※勤務時間帯により異なる","昇給年1回（7月）、感謝金（業績による）
社会保険完備
永年勤続表彰、慶弔見舞金
ベネフィットステーション会員
（宿泊施設や飲食店での優待割引等）"
102977,,"正職員 保育士さんの募集です☆","正職員　160,200～

","
・交通費支給

・社会保険完備

・退職金制度

・住宅手当"
102978,,◎駅チカ！時短勤務で時間を有効活用しませんか◎,時給850円～,
102979,,"契約職員 保育士さんの募集です☆","契約職員　140,800～
","
・交通費支給
・社会保険完備
・退職金制度
・住宅手当"
102980,,【アットホームで明るい】園児を大切に、のびのびした幼稚園です！！【残業なし☆】,"時給1,000円",
102981,,【無資格ＯＫ！！】愛情と信頼を大切にしたあたたかい保育園で働いてみませんか？【交通費支給】,"時給1,000円　～　1,200円",
102982,,【旧軽井沢銀座】にある小さな幼稚園,時給８５０円～９００円,"賞与：あり

昇給：あり
労災保険"
102983,,正職員　保育士を募集します。,"【　基本給　】
経験により異なります。

新卒　143,200円

経験5年以上　167,200円","
・社会保険完備
・各種手当
・通勤手当
・住居、扶養手当"
102984,,◎駅チカ！信頼のおけるスタッフと一緒に働きませんか◎,"月給195,000円～","賞与年2回 計3ヶ月分支給(実績による)"
102985,,◎駅チカ！信頼のおけるスタッフと一緒に働きませんか◎,"月給195,000円～","賞与年2回 計3ヶ月分支給(実績による)"
102987,,【駅から4分♪】チームワークで子どもの笑顔を大切にします【長く活躍してくれる方募集！！】,"182,064円～",
102988,,【一人ひとりの子ども　集団の中で個をたいせつに☆】,法人の規定によります,
102989,,【一人ひとりの子ども　集団の中で個をたいせつに☆】,法人の規定によります,"年間3ヶ月

手当あり
退職共済

親睦会"
102990,,一人ひとりの子ども　集団の中で個をたいせつに☆,法人の規定によります,"年間3ヶ月　

盾あり
退職共済

親睦会"
102991,,【一人ひとりの子ども　集団の中で個をたいせつに☆】,法人の規定によります,
102992,,☆うれしい固定時間での勤務！元気な子どもたちとやりがいある保育に挑戦してみませんか？☆,"時給1000円～
",
102995,,一人ひとりの子ども　集団の中で個をたいせつに☆,法人の規定によります,
102996,,【一人ひとりの子ども　集団の中で個をたいせつに☆】,法人の規定によります,"年3ヶ月

手当あり
退職共済

親睦会"
102997,,☆毎日が楽しい元気の出る幼稚園☆,"月給145,000～185,000円","平成26年度実績 賞与 月給の4ヶ月分
雇用・労災・健康・厚生"
102998,,【綺麗でアットホーム♪】自然を大切にした優しく、あたたかい保育室です！！【駅チカ】,"170,000円～",
102999,,【服装髪型自由☆】羽田空港内の保育園です【駅から徒歩１分！！】,月給21万～26万,賞与：年2回計1.5月分
103000,,【綺麗でアットホーム】子どもの心や個性を大切に、明るく元気な保育園です☆【未経験者歓迎】,"170,000円～200,000円
",
103001,,とってもアットホームな保育園♪あなたの個性が生かせます！,"時給1,050円～",
103002,,とってもアットホームな保育園♪あなたの個性が生かせます！,"月給180,000円～","昇給年1回

賞与年2回計3ヶ月分支給　

"
103004,,【病院内保育園★正社員】郡山駅徒歩6分★充実した社員教育・研修あり★安心の企業保育園♪O10071210,"月給 147000円 ～ ","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  制服貸与  退職金制度  再雇用制度  研修制度  夜勤手当  残業手当"
103005,,西東京市★4月スタート★認可保育園★賞与3ヶ月以上★広々園庭★職員関係良好★未経験も可G10072132,"月給 150900円 ～ 254000円","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  退職金制度  給食あり  住宅手当  育児休暇あり"
103006,,早良区西油山★小規模保育★園児数19人★担任補助★車通勤可★フルタイム勤務♪O10071645,"月給 155000円 ～ ","
社会保険完備  退職金制度"
103007,,4月スタート★私立幼稚園★正社員★園児数400人★福岡市早良区★担任補助★車通勤可♪O10071157,"月給 155000円 ～ 155000円","
社会保険完備  退職金制度"
103008,,4月スタート★正社員★糟屋郡粕屋町の認定こども園★ヨコミネ式を取り入れています！O10071514,"月給 156000円 ～ 160000円","
交通費支給  社会保険完備"
103009,,【2015年4月～！臨時職員】福岡市博多区★こじんまりとしたアットホームな環境★O10071271,"月給 156800円 ～ 156800円","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  退職金制度  給食あり"
